publ_0236,Beck’sche Buchhandl
publ_0236,Beck’sche Buchhandlg
publ_0236,Beck’sche Buchhandlung
publ_0236,Beck’sche Buchhdl
publ_0236,Beck’sche Buchhdlg
publ_0236,Becksche Buchh
publ_0237,Beethoven-Haus
publ_0237,Verein Beethoven-Haus
publ_0238,Begas
publ_0239,Behr
publ_0240,Behrendt u. Co
publ_0241,Behrens
publ_0242,Behringer
publ_0243,Behr’s Buchh
publ_0244,Behr Verl
publ_0244,Behr’s Verl
publ_0244,Behr’s Vlg
publ_0245,Belaieff
publ_0245,Belaïeff
publ_0245,Belaiff
publ_0246,Bellien
publ_0246,Bellin
publ_0247,Bellman
publ_0247,Bellmann
publ_0248,Bellmann & C
publ_0248,Bellmann & Co
publ_0248,Bellmann & Comp
publ_0248,Bellmann u. Co
publ_0249,Bellmann
publ_0249,Bellmann &
publ_0249,Bellmann & Thümer
publ_0250,F. Bellmann
publ_0251,Belser
publ_0252,Belser’sche Buchhdl
publ_0253,Benda
publ_0254,Bendix
publ_0255,Bendix & Janssen
publ_0256,Bejamin
publ_0256,Benjamin
publ_0257,Bennewitz
publ_0258,Benrath u. Vogelgesang
publ_0260,Bensheimer
publ_0261,Benziger
publ_0261,Benzinger
publ_0262,Benziger & Co
publ_0263,Gebr. Benziger
publ_0263,Gebr. Benzinger
publ_0264,Behrendsohn
publ_0264,Berendsohn
publ_0264,Berendssohn
publ_0265,Berens
publ_0266,Bergas
publ_0267,Theod. Bergemann
publ_0268,Berger
publ_0269,A. Berger
publ_0270,Berger-Levrault
publ_0271,Wwe Berger-Levrault u. Sohn
publ_0272,Bergholz
publ_0273,Bergmann
publ_0274,Bergmann u. Roller
publ_0275,Berka et Co
publ_0275,Berka u. Co
publ_0276,Jos. Bermann
publ_0277,Bermann’s Witwe u. Sohn
publ_0278,Bernard
publ_0279,Berndt
publ_0280,Bernheim
publ_0281,Bernstein
publ_0282,Berra
publ_0283,Berra u. Hoffmann
publ_0283,Berra und Hoffmann
publ_0284,Berra (in Comm.)
publ_0284,Berra in Commis
publ_0285,Bertelsmann
publ_0285,Betelsmann
publ_0286,Bertling
publ_0287,Th. Bertling
publ_0288,Bertram
publ_0289,Bertschinger
publ_0289,Bertschinger &
publ_0289,Bertschinger & Heyn
publ_0290,Bertuch
publ_0291,Berté
publ_0292,Berte & Co
publ_0292,Berté & Co
publ_0292,Beté & Co
publ_0293,Besemfelder
publ_0294,Bessel
publ_0295,Bessel
publ_0295,Bessel &
publ_0295,Bessel & Co
publ_0296,Besser
publ_0297,Besser’s Nachf
publ_0299,Besthorn
publ_0300,Bethge
publ_0301,G. Bethge
publ_0302,Bette
publ_0303,Betz
publ_0304,Betzhold
publ_0304,Betzold
publ_0305,Beuster
publ_0306,Beyer
publ_0307,Beyer et Co
publ_0307,Beyer u. C
publ_0307,Beyer u. Co
publ_0308,Beyer et
publ_0308,Beyer et C. in
publ_0308,Beyer u. Co. (In Comm.)
publ_0308,Beyer u. Co. (in Comm.)
publ_0308,Beyer u. Co. in Comm
publ_0308,Beyer u. Comp. (In Comm.)
publ_0308,Beyer u. Comp. (In Commis.)
publ_0308,Beyer u. Comp. in Commiss
publ_0309,Beyer
publ_0309,Beyer &
publ_0309,Beyer & S
publ_0309,Beyer & Söhne
publ_0310,Gebr. Beyer
publ_0311,Bial & Freund
publ_0312,"Bial, Freund &"
publ_0312,"Bial, Freund & Co"
publ_0312,"Biel, Freund & Co"
publ_0314,Bibliogr. Bureau
publ_0315,Bibl.
publ_0315,Bibliogr. Institut
publ_0315,bibliographisches
publ_0315,bibliographisches Institut
publ_0316,Bickhardt
publ_0317,Biehl
publ_0318,Biehl
publ_0318,Biehl &
publ_0318,Biehl & Co
publ_0318,Biehl u Co
publ_0318,Biehl u. Co
publ_0319,Bielefeld
publ_0320,Biller
publ_0321,Biller’s Verl
publ_0322,Billhardt
publ_0323,Billig
publ_0324,Binder
publ_0325,Bindernagel
publ_0326,Binder’s Nachf
publ_0327,Berr
publ_0327,Birr
publ_0328,Birr u. N
publ_0328,Birr u. Nanwerk
publ_0329,Bisping
publ_0330,Bisping & Greve
publ_0331,Bittkow
publ_0332,Blachmann n. Bornschein
publ_0332,Blachmann u. B
publ_0332,Blachmann u. Bornschein
publ_0333,Blaha
publ_0334,Blankenberg & Co
publ_0335,L. Blau
publ_0336,Blay
publ_0337,Blažek
publ_0338,Bleier
publ_0339,Bloch
publ_0340,Blosfeld
publ_0341,Blum
publ_0342,Blumenfeldt
publ_0343,Blumrich
publ_0344,Blaesing
publ_0344,Bläsing
publ_0345,Bock
publ_0346,A. Bock
publ_0347,W. Bock
publ_0348,Bockelmann
publ_0349,Bock’s Verl
publ_0349,Bock’s Verlag
publ_0350,W. Bock’s Verl
publ_0351,Boenig
publ_0352,Bogucki
publ_0353,Bohmann’s Erben
publ_0353,Bohmanns Erben
publ_0354,Bohmanns Erben in Comm
publ_0355,Bohne
publ_0356,Boieldieu
publ_0357,Boisserée
publ_0358,Boldemann
publ_0359,Woldemann (in Comm.)
publ_0360,Boll
publ_0361,Boll & Pickardt
publ_0362,Boll’s Verl
publ_0363,Boltze
publ_0364,Bomnitz
publ_0365,Bon
publ_0366,Bonde
publ_0367,Bonde’s Verl
publ_0368,Bonifacius-Buchhandlg
publ_0369,Bonifacius-Druckerei
publ_0370,Bonness & Hachfeld
publ_0371,Bonnier
publ_0372,Bonoldi
publ_0373,Bonoldi frères
publ_0374,Bonz & Co
publ_0375,Boosey
publ_0376,Borges
publ_0377,Borgmeyer
publ_0378,Bormann
publ_0379,Born
publ_0380,Born (in Comm.)
publ_0380,Born in Comm
publ_0381,Borndrück
publ_0382,Bornemann
publ_0383,Bornträger
publ_0384,Borriero & Capra
publ_0385,Borriero & Co
publ_0387,Boselli
publ_0388,Boshart & O
publ_0388,Boshart & Osthoff
publ_0388,Boshart u. O
publ_0389,Bosse
publ_0390,Boston Music Co
publ_0390,Music Co
publ_0390,The Boston Music Co
publ_0391,Bosworth
publ_0392,Bosworth & Co
publ_0392,Bosworth & Oo
publ_0392,Boswortth & Co
publ_0393,B & Bock
publ_0393,B u Bock
publ_0393,B u. Bock
publ_0393,"B, u. Bock"
publ_0393,B.
publ_0393,B. & Bock
publ_0393,B. Bock
publ_0393,B. e Bock
publ_0393,B. et Bock
publ_0393,B. u Bock
publ_0393,"B. u, Bock"
publ_0393,B. u.
publ_0393,B. u. Bock
publ_0393,B. und Bock
publ_0393,B.u. Bock
publ_0393,Bote
publ_0393,Bote &
publ_0393,Bote & B
publ_0393,Bote & Bock
publ_0393,Bote B
publ_0393,Bote e Bock
publ_0393,Bote et
publ_0393,Bote et B
publ_0393,Bote et Bock
publ_0393,Bote u.
publ_0393,Bote u. B
publ_0393,Bote u. Bock
publ_0393,Bote u. Bote
publ_0393,Bote u. Co
publ_0393,Bote und B
publ_0393,Bote und Bock
publ_0393,Bote. u. B
publ_0394,Bote u. B. in Comm
publ_0395,"Bousrod, Valadon & Co"
publ_0396,Boyes & Geissler
publ_0397,Boysen
publ_0398,Braams
publ_0399,Brachvogel &
publ_0399,Brachvogel & Ranft
publ_0400,Brack
publ_0401,Brake jr
publ_0402,Brandegger
publ_0403,Brandenburg
publ_0404,Brandes
publ_0405,Brandis
publ_0406,Brandner
publ_0407,Brandstedter
publ_0407,Brandstetter
publ_0408,Brandt
publ_0409,Brandts
publ_0410,Brandus
publ_0411,Brandus & Cie
publ_0412,Brandus
publ_0412,Brandus &
publ_0412,Brandus & Co
publ_0412,Brandus e Co
publ_0412,Brandus et Co
publ_0413,Brandus et D
publ_0413,Brandus et Dufour
publ_0413,Brandus u. D
publ_0413,Brandus u. Dufour
publ_0414,"Brandus, Dufour et Co"
publ_0414,"Brandus, Dufour u Co"
publ_0414,"Brandus, Dufour u. Co"
publ_0415,Bratficsh
publ_0415,Bratfisch
publ_0416,Braue
publ_0416,Brauer
publ_0418,Braumüller (in Comm.)
publ_0419,Braun
publ_0420,Braun & Heynau
publ_0421,Braun & Schneider
publ_0422,Braun & Weber
publ_0422,Braun u. W
publ_0423,Braun (in Comm.)
publ_0424,Braun-Peretti
publ_0425,Braunbeck
publ_0426,Brauns
publ_0427,Braun’s Vlg
publ_0428,P. Braun’s Verl
publ_0428,P. Braun’s Vlg
publ_0429,Braun’sche Buchhdl
publ_0430,Braun’sche Hofbuchdr
publ_0431,Bredow
publ_0432,Bredt
publ_0433,Bredt Nachf
publ_0434,H. Bredt
publ_0435,Breer & Thiemann
publ_0436,Bregenzer
publ_0437,B. & Härtel
publ_0437,B. u. Härtel
publ_0437,Beitkopf & Härtel
publ_0437,Br & Härtel
publ_0437,Br et Härtel
publ_0437,Br u Härtel
publ_0437,Br u. Härtel
publ_0437,"Br, et"
publ_0437,"Br, u. Härtel"
publ_0437,Br: & Härtel
publ_0437,Br.
publ_0437,Br. &
publ_0437,Br. & Härtel
publ_0437,Br. & Härtelel
publ_0437,Br. & Hätel
publ_0437,Br. &. Härtel
publ_0437,Br. e Härtel
publ_0437,Br. et
publ_0437,Br. et  Härtel
publ_0437,Br. et Härtel
publ_0437,Br. et. Härtel
publ_0437,Br. Härtel
publ_0437,Br. u Härtel
publ_0437,"Br. u, Härtel"
publ_0437,Br. u.
publ_0437,Br. u. H
publ_0437,Br. u. Hartel
publ_0437,Br. u. Härtel
publ_0437,Br. und Härtel
publ_0437,Breitk. & H
publ_0437,Breitk. et Härtel
publ_0437,Breitk. u. Härtel
publ_0437,Breitk. und Härtel
publ_0437,Breitkopf
publ_0437,Breitkopf &
publ_0437,Breitkopf & H
publ_0437,Breitkopf & Haertel
publ_0437,Breitkopf & Härtel
publ_0437,Breitkopf et
publ_0437,Breitkopf et Härtel
publ_0437,Breitkopf Härtel
publ_0437,Breitkopf u. H
publ_0437,Breitkopf u. Härtel
publ_0437,Breitkopf und Härtel
publ_0438,Br. et Härtel in Comission
publ_0438,"Br. u. Härtel, in Comm"
publ_0439,Bremer
publ_0440,Brennecke
publ_0441,Breschinsky
publ_0442,Bretschneider
publ_0443,Breuer
publ_0444,Breuer in Comm
publ_0446,Brieff
publ_0447,Brigl
publ_0448,Brill
publ_0449,Brinker
publ_0450,Brixner
publ_0451,Brocker
publ_0452,Brockhaus
publ_0453,M. Brockhaus
publ_0454,Max Brockhaus
publ_0455,Brockhausen
publ_0456,Brodhag’sche Buchhdl
publ_0457,Brodtmann
publ_0458,Brodtmann’sche Buchhdl
publ_0458,Brodtmannsche Buchh
publ_0458,Brodtmannsche Buchhdl
publ_0459,Bromme
publ_0460,Bruck
publ_0461,Bruckmann
publ_0462,A. Bruckmann
publ_0463,Bruhn
publ_0464,H. Bruhn
publ_0465,Bruhn’s Verl
publ_0465,Bruhn’s Vlg
publ_0466,Bruni
publ_0467,Brunnemann
publ_0468,Brunnemann & Co
publ_0469,Brunner
publ_0470,Bruns
publ_0471,Brzezina
publ_0472,Bräuer
publ_0473,Brönner
publ_0474,Brück
publ_0475,Brückner
publ_0476,Brückner u. Renner
publ_0477,Brügel & Sohn
publ_0478,Brüggemann
publ_0479,Brünslow
publ_0480,Buchdr. Greven & Bechtold
publ_0481,Buchdr. Helios
publ_0482,Buchdr. Kastner & Lossen
publ_0483,Bucher
publ_0484,Buchh. der Anstalt Bethel
publ_0484,Buchhdlg der Anstalt Bethel
publ_0485,Buchh. der Berliner Stadtmission
publ_0486,Buchh. der Deutschen Lehrer-Zeitung
publ_0486,Buchhdlg der Deutschen Lehrer-Zeitung
publ_0487,Buchh. der Evang. Gesellschaft
publ_0487,Buchh. der Evangel. Gesellschaft
publ_0487,Buchh. der evangel. Gesellschaft
publ_0488,Buchh. der Stadtmission
publ_0489,Buchh. des Evangel. Vereinshauses
publ_0490,Buchh. des kathol. Erziehungs-Vereins
publ_0490,Buchh. des kathol. Erziehungsvereins
publ_0491,Buchh. des „Kropper kirchl. Anzeigers“
publ_0492,Buchh. des Vereinshauses
publ_0492,Buchhdlg des Vereinshauses
publ_0493,Buchh. des Waisenhauses
publ_0493,Buchhandlung des Waisenhauses
publ_0494,Buchh. des evangel. Vereins f. die Pfalz
publ_0495,Buchhdlg des ostdeutschen Jünglingsbundes
publ_0496,Buchh. des westdeutschen Jünglingsbundes
publ_0498,Buchhdl. z. Guttenberg
publ_0498,Zu-Guttenberg
publ_0499,Buchholtz & D
publ_0499,Buchholz
publ_0499,Buchholz &
publ_0499,Buchholz & D
publ_0499,Buchholz & Diebel
publ_0499,Buchholz u. D
publ_0499,Bucholz & D
publ_0500,Buchholz
publ_0500,Buchholz &
publ_0500,Buchholz & Diebel
publ_0500,Buchholz & Diebel Sort
publ_0500,Buchholz u. Diebel Sort
publ_0501,Buchmann
publ_0502,Buchner
publ_0503,Buchner’sche Buchhandlung
publ_0503,Buchner’sche Buchhdl
publ_0504,Buddeus
